FBS,,,SUA,
TOTAL,FAMILY,GROUP,ITEM,PROXY-PRIMARY AND PROCESSED
2901 GRAND TOTAL,2903  VEGETALE PRODUCTS ,2905 CEREALS (EXCLUDING BEER),2511 WHEAT & PRODUCTS ,WHEAT
,,,,FLOUR WHEAT
,,,,BRAN WHEAT 
,,,,MACARONI
,,,,GERM WHEAT 
,,,,BREAD
,,,,BULGUR
,,,,PASTRY
,,,,"WHEAT,STARCH"
,,,,WHEAT GLUTEN 
,,,,BREAKF CERLS
,,,,WAFERS
,,,,MIXES AND DO 
,,,,FOOD PREP.FL 
,,,2514 MAIZE & PRODUCTS ,MAIZE
,,,,GERM MAIZE 
,,,,FLOUR MAIZE
,,,,BRAN MAIZE 
,,,,MAIZE GLUTEN 
,,,,STARCH MAIZE
,,,,GLUT FEED&ME
…,…,…,…,…
,,2909 SWEETENERS,"2543 SWEETENERS, OTHER & PROD",FRUCTOSE CHE
,,, ,MALTOSE CHEM
,,,,MAPLE SUGAR
,,,,SUGAR CROPS
,,,,MOLASSES (calories
,,,,OTHER FRUCTO
,,,,SUGAR NES
,,,,GLUC. DEXTR.
,,,,LACTOSE
,,,,ISOGLUCOSE
,,, ,BEV NON-ALC
…,…,…,…,…
,,2914 VEGETABLE OILS,"2571 SOYABEAN, OIL",OIL SOYABEAN
,,,"2572 GROUNDNUT, OIL 2",OIL GROUNDNT
…,…,…,…,…
,2941  ANIMAL PRODUCTS ,2943 MEAT (SLAUGHTERED) ,"2731 MEAT & PRODUCTS, BOVINE ",BEEF VEAL
,, ,,BEEF BONLESS
,,,,BEEF DSS
,,,,MEAT EXTRACT
,,,,SAUSAGE BEEF
,,,,BEEF PREP
,,,,BEEF CANNED
,,,,HOMOGENIZED
,,,,BUFFALO MEAT
…,…,…,…,…
