\boldmath$el$,\boldmath$Value_{el \in E}$,\boldmath$p_{ME}$,\boldmath$Value_{el} \times p_{ME}$,\boldmath$p_{adj_{el}}$,\boldmath$adj_{el \in E}$,\boldmath$Value^*_{el \in E}$,\boldmath$DES$,\boldmath$DES^*$
$P$,"126,208,400",0.001,"126,208",0.01,"13,426","126,221,826",-,-
$I$,"3,184,654",0.01,"31,847",0,"3,388","3,188,042",-,-
$X$,"781,808",0.01,"7,818",0,-832,"780,976",-,-
$\Delta St$,"1,120,565",0.25,"280,141",0.02,"-29,801","1,090,764",-,-
$Fo$,"89,711,591",0.05,"4,485,580",0.3,"-477,172","89,234,419",560.03,***557.05***
$FP$,0,0.01,0,0,0,0,-,-
$Fe$,"29,387,664",0.25,"7,346,916",0.5,"-781,559","28,606,105",-,-
$Se$,"4,277,567",0.25,"1,069,392",0.07,"-113,761","4,163,806",-,-
$T$,"-22,766.50",0.25,"-5,692",0,605,"-22,161",-,-
$IU$,"2,994,755",0.25,"748,689",0.05,"-79,645","2,915,110",-,-
$L$,"2,713,000",0.25,"678,250",0.05,"-72,152","2,640,848",-,-
$ROU$,-,-,-,-,-,-,-,-
\boldmath$Imb2$,"**-1,571,130**",-,-,-,-,***0***,-,-
\boldmath$\sum \limits_{el \in E}$,,,"**14,769,149**",-,-,-,-,-
