\boldmath$el$,\boldmath$V_{el \in E}$,\boldmath$V^*_{el \in E}$,\boldmath$DES$,\boldmath$DES^*$
$P$,,,-,-
$I$,"69,685.96","69,685.96",-,-
$X$,"21,977.43","21,977.43",-,-
$\Delta St$,0,0,-,-
$Fo$,"47,708.53","47,708.53",0.3545,0.3545
$FP$,0,0,-,-
$Fe$,0,0,-,-
$Se$,0,0,-,-
$T$,-12.2958,-12.2958,-,-
$IU$,0,0,-,-
$L$,0,0,-,-
$ROU$,-,12,-,-
\boldmath$Imb2$,**12**,***0***,-,-
\boldmath$TS$,"**69,685.96**",-,-,-
\boldmath$TS \times 0.05$,"**3,484.298**",,,
\boldmath$|Imb2| < TS \times 0.05$,**TRUE**,,,
